date,sales,demand,spend_sms,spend_newspaper,spend_radio,spend_tv,spend_internet,grp_sms,grp_newspaper,grp_radio,grp_internet,grp_tv,cpi,cci,ppi,unit_price,pos_supply
2010-07-05,13684785.66,51413,428.359,92.522677,566.109,9615.616,29074.19,9.284085714285714,1267.937142857143,104.51948571428571,251.5324571428571,992.1168714285715,106.5,98.3,103.5,361.62,37843
2010-07-12,15429240.540000001,48935,384.6264,89.511572,536.0,9357.1978,26788.858,52.77198571428572,1107.9022857142857,142.01950000000002,249.22078571428574,1748.0844,106.5,98.3,103.5,361.62,42667
2010-07-19,14927673.6,49331,296.8015,74.397791,548.6514999999999,7806.0818,28525.096,47.8851,1192.852,365.53895714285716,266.6363714285714,1302.9675285714286,106.5,98.3,103.5,361.62,41280
2010-07-26,17000841.06,56817,298.2388,75.352424,557.4213,7858.2861,28462.571,48.947,1119.000942857143,223.71080000000003,420.8210857142857,1812.1039142857142,106.5,98.3,103.5,361.62,47013
2010-08-02,16413570.18,56620,306.45529999999997,77.23497,563.9019000000001,8013.0851,18303.728000000003,31.506571428571426,589.5083714285714,141.18624285714284,397.40195714285716,1157.1688285714285,106.2,98.3,103.5,361.62,45389
2010-08-09,14377649.58,52648,283.562,78.960758,517.843,8131.9115,19751.939000000002,19.810642857142856,90.59887142857143,153.37932857142854,339.23857142857145,1257.1039,106.2,98.3,103.5,361.62,39759
2010-08-16,16841728.259999998,33333,487.1639,91.416368,717.5279,9527.0548,8424.441,16.5201,92.70858571428572,104.40708571428571,300.4337571428572,830.7337571428571,106.2,98.3,103.5,361.62,46573
2010-08-23,16110894.24,34563,544.9782,92.398715,723.4597,9739.1278,4367.618,18.0816,99.21342857142858,115.15584285714286,302.07791428571426,812.2142714285714,106.2,98.3,103.5,361.62,44552
2010-08-30,14666222.34,40610,482.0336,92.484715,694.7256,9756.6774,13645.429,32.41692857142857,121.846,114.48701428571428,277.42855714285713,927.8636428571428,106.2,98.3,103.5,361.62,40557
2010-09-06,11256868.98,43018,522.1962,93.415776,702.6007999999999,9843.0193,26139.095,24.533528571428572,139.56085714285715,119.74672857142856,284.42855714285713,978.4935142857141,106.1,98.3,103.5,361.62,31129
